Ordinance,Pool,Meter,Year,nrows,MFStart,MfEnd,MFLength,WTCStart,WTCEnd,WTCLength,Distance,DistanceFromEdge,Co_WTC,Co_MF,Co,1,2,3,4,5,ClayAvg,Clay %
NS,1,0,2018,3,NA,NA,NA,124,124,0,0.1,0.1,0,NA,0,12,14,17,16,14,14.6,14.6
NS,1,0,2018,3,NA,NA,NA,124,124,0,0.3,0.3,0,NA,0,NA,NA,NA,NA,NA,NA,15.2
NS,1,0,2018,3,NA,NA,NA,124,124,0,0.5,0.5,0,NA,0,NA,NA,NA,NA,NA,NA,15.8
NS,1,0,2018,3,NA,NA,NA,124,124,0,0.7,0.7,0,NA,0,NA,NA,NA,NA,NA,NA,16.4
NS,1,0,2018,3,NA,NA,NA,124,124,0,0.9,0.9,0,NA,0,NA,NA,NA,NA,NA,NA,17
NS,1,0,2019,2,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,12,14,17,16,14,14.6,14.6
NS,1,0,2019,2,NA,NA,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2
NS,1,0,2019,2,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8
NS,1,0,2019,2,NA,NA,NA,NA,NA,NA,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4
NS,1,0,2019,2,NA,NA,NA,NA,NA,NA,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
NS,1,0,2020,3,NA,NA,NA,98,98,0,0.1,0.1,0,NA,0,12,14,17,16,14,14.6,14.6
NS,1,0,2020,3,NA,NA,NA,98,98,0,0.3,0.3,0,NA,0,NA,NA,NA,NA,NA,NA,15.2
NS,1,0,2020,3,NA,NA,NA,98,98,0,0.5,0.5,0,NA,0,NA,NA,NA,NA,NA,NA,15.8
NS,1,0,2020,3,NA,NA,NA,98,98,0,0.7,0.7,0,NA,0,NA,NA,NA,NA,NA,NA,16.4
NS,1,0,2020,3,NA,NA,NA,98,98,0,0.9,0.9,0,NA,0,NA,NA,NA,NA,NA,NA,17
NS,1,0,2021,7,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,12,14,17,16,14,14.6,14.6
NS,1,0,2021,7,NA,NA,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2
NS,1,0,2021,7,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8
NS,1,0,2021,7,NA,NA,NA,NA,NA,NA,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4
NS,1,0,2021,7,NA,NA,NA,NA,NA,NA,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
NS,1,1,2021,7,75,75,0,NA,NA,NA,1.1,1.1,NA,0,0,18,15,17,19,19,17.6,17.6
NS,1,1,2021,7,75,75,0,NA,NA,NA,1.3,1.3,NA,0,0,NA,NA,NA,NA,NA,NA,18.36
NS,1,1,2021,7,75,75,0,NA,NA,NA,1.5,1.5,NA,0,0,NA,NA,NA,NA,NA,NA,19.12
NS,1,1,2021,7,75,75,0,NA,NA,NA,1.7,1.7,NA,0,0,NA,NA,NA,NA,NA,NA,19.88
NS,1,1,2021,7,75,75,0,NA,NA,NA,1.9,1.9,NA,0,0,NA,NA,NA,NA,NA,NA,20.64
NS,1,1,2018,3,NA,NA,NA,NA,NA,NA,1.1,1.1,NA,NA,NA,18,15,17,19,19,17.6,17.6
NS,1,1,2018,3,NA,NA,NA,NA,NA,NA,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.36
NS,1,1,2018,3,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.12
NS,1,1,2018,3,NA,NA,NA,NA,NA,NA,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.88
