Year,Pool,MFStart,MFEnd,MFPeak,MFLength,WTCStart,WTCEnd,WTCPeak,WTFLength,CummulativeAbundanceMF,CummulativeAbundanceWTC,PeakAbundanceMF,PeakAbundanceWTC,AVGplots_occurpied_MF,AVGplots_occurpied_StandardizedByPool_MF,Average_MF_plants_ONLYIFPRESENT,Avearge_MF_plants,Average_Flower_MF,Average_Flower_MF_IFPRESENT,Average_Seed_MF,SEED_MF_IFPRESENT,AbsoluteAbundance_Plants_MF,AbsoluteAbundance_Flowers_MF,SEEDPRODUCTION_MF,Quadrat_AvgWTC,StandardPresence_WTC,Average_WTC_Plant,Average_WTC_plant_IFPRESENT,Average_WTC_flower,Average_WTC_flower_IFPRESENT,Average_WTC_seed,Average_WTC_seed_IFPRESENT,AbsoluteAbundance_Plants_WTC,AbsoluteAbundance_Flowers_WTC,SEEDPRODUCTION_WTC,CMI_EARLY,CMI_LATE,TempRange_EARLY,TempRange_LATE,Firstrainfall,GDDOct,GDDNov,GDDDEC,GDDOctNov,GDDNovDec,GDDOctDec,GDDNov-jan,GDDDec-Feb,GDDOct-Feb,GDDEARLY,GDDLATE,GDD_WINTER,PRECIP_EARLY,PRECIP_LATE,PRECIP_WINTER,MEANEARLY,MEANLATE,MinEARLY,MinLate,MAXEarly,MAXLate,FebMax,AprilMax,MarchMax,Pool Area,October Precip,Nov. Precip,Dec. Precip,Jan Precip,Feb Precip,March Precip,October to Nov Precip,October to Dec precip,October to January Precip,October to February Precip,October to March Precip,January to Feb Precip,January to March Precip,February to March pRecip,inundation_Length,,,,,,,,,,,,,,,,,,,,,,SEEDPRODUCTION_WTC
2016,1,50,117,89,67,77,110,89,33,,,,,,,,,,,,,,,,,,,,,,,,,,,99.16728261,100.8221978,14.97065217,13.06923077,274,695,275,156,970,431,1126,719,769,1739,1190,1213,2403,107,255.6,362.6,11.13,10.44,4.97,4.77,18.9,16.84,19.0651341,23.71111111,19.36379928,843.875,3.5,42.2,61.2,134.5,12.3,109,45.7,106.9,241.2,253.5,362.5,146.6,255.6,121.3,,,,,,,,,,,,,,,,,,,,,,,
2017,1,76,125,97,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.39880435,101.8136667,16.54347826,12.84444444,289,566,361,215,927,576,1142,805,870,1797,1215,1187,2402,111.4,325.6,437,10.85,9.89,4,4.43,19.39,16.12,16.40476191,21.96666667,21.02867383,843.875,9.8,30.6,71,168.2,119.2,38.2,40.4,111.4,279.5,398.7,436.9,287.3,325.5,157.4,,,,,,,,,,,,,,,,,,,,,,,
2018,1,96,124,110,28,110,131,117,21,401,92,200,55,29.55555556,0.174884944,2.259398496,0.530450132,0.353927626,1.507518797,0.180935569,0.744360902,601,401,205,2.063291139,0.13945278,0.287731686,2.063291139,0.081200353,0.563291139,0.045895852,0.329113924,326,92,52,98.34869565,99.12411111,17.13043478,14.56333333,292,400,239,213,639,452,852,760,754,1393,892,1032,1924,38.8,94.6,133.4,10.39,9.35,2.61,3.07,20.5,16.55,17.77777778,22.52037037,18.58960573,843.875,5.8,28.2,28.2,48.2,10.4,35.8,34,38.7,87,97.4,133.2,58.7,94.5,46.2,7,,,,,,,,,,,,,,,,,,,,,,52
2019,1,95,109,102,,102,116,109,14,,,,,22,0.14379085,2.545454546,0.366013072,0.352941177,2.454545455,0.290849673,2.022727273,112,108,89,2.307692308,0.04248366,0.098039216,2.307692308,0.019607843,0.461538462,0.009803922,0.230769231,30,6,3,99.55891304,100.5888889,17.89456522,13.44111111,275,503,360,222,863,582,1085,868,746,1609,1152,1046,2198,131.7,226.4,358.1,10.75,8.96,3.62,3.32,20.45,15.7,14.02579365,24.89259259,19.14874552,843.875,5.6,82,44.1,58.7,105.7,61.7,87.6,131.7,190.4,296.1,357.8,164.4,226.1,167.4,4,,,,,,,,,,,,,,,,,,,,,,3
2020,1,58,114,78,56,58,114,78,56,413,70,151,17,20,0.110497238,2.528571429,0.329608939,0.254189944,1.321428571,0.244878957,1.65,354,273,263,1.902439024,0.038175047,0.072625698,1.902439024,0.059590317,1.512195122,0.034450652,0.853658537,78,64,37,99.27695652,98.67879121,18.7,16.33186813,329,458,277,357,735,634,1092,860,893,1628,1159,1052,2211,125.6,79.2,204.8,11.16,9.68,3.5,2.86,20.98,17.9,21.13218391,24.27407407,19.8781362,843.875,0,22.5,103.1,18,0.8,60.1,22.5,125.6,143.6,144.4,204.5,18.8,78.9,60.9,3,,,,,,,,,,,,,,,,,,,,,,37
2021,1,47,110,81,63,61,103,81,42,274,43,91,25,38.57142857,0.228233305,1.940740741,0.47037702,0.240574506,0.992592593,0.258527828,1.066666667,524,268,288,2.170731707,0.036804309,0.07989228,2.170731707,0.038599641,1.048780488,0.034111311,0.926829268,89,43,38,98.62097826,99.22511111,18.69456522,16.34888889,311,579,283,200,862,483,1062,716,738,1600,1142,973,2115,63.7,142.1,205.8,10.82,9.52,3.33,2.58,20.9,17.46,18.60119048,26.04629629,19.78315412,843.875,1.1,25,35.2,94.2,12.1,35.6,26.1,61.3,155.5,167.6,203.2,106.3,141.9,47.7,0,,,,,,,,,,,,,,,,,,,,,,38
2022,1,36,75,57,39,50,69,57,19,367,182,133,95,,,,,,,,,,,,,,,,,,,,,,,99.84576087,97.95644444,13.57934783,18.17,294,595,487,181,1082,668,1263,893,661,1743,1317,1007,2324,148.9,34.6,183.5,11.4,9.23,5.61,1.59,18.15,18.48,19.37896826,23.82592593,22.41577061,843.875,44.2,13.8,85.8,4.5,6,,58,143.8,148.3,154.3,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2,50,103,89,53,89,103,89,14,,,,,,,,,,,,,,,,,,,,,,,,,,,99.16728261,100.8221978,14.97065217,13.06923077,274,695,275,156,970,431,1126,719,769,1739,1190,1213,2403,107,255.6,362.6,11.13,10.44,4.97,4.77,18.9,16.84,19.0651341,23.71111111,19.36379928,372.3412,3.5,42.2,61.2,134.5,12.3,109,45.7,106.9,241.2,253.5,362.5,146.6,255.6,121.3,,,,,,,,,,,,,,,,,,,,,,,
2017,2,62,125,97,63,62,118,97,56,,,,,,,,,,,,,,,,,,,,,,,,,,,99.39880435,101.8136667,16.54347826,12.84444444,289,566,361,215,927,576,1142,805,870,1797,1215,1187,2402,111.4,325.6,437,10.85,9.89,4,4.43,19.39,16.12,16.40476191,21.96666667,21.02867383,372.3412,9.8,30.6,71,168.2,119.2,38.2,40.4,111.4,279.5,398.7,436.9,287.3,325.5,157.4,,,,,,,,,,,,,,,,,,,,,,,
2018,2,103,124,110,21,110,124,110,14,59,63,42,49,19.4,0.150387597,2.505154639,0.68258427,0.165730337,0.608247423,0.18258427,0.670103093,243,59,65,2.670588235,0.238764045,0.637640449,2.670588235,0.176966292,0.741176471,0.230337079,0.964705882,227,63,82,98.34869565,99.12411111,17.13043478,14.56333333,292,400,239,213,639,452,852,760,754,1393,892,1032,1924,38.8,94.6,133.4,10.39,9.35,2.61,3.07,20.5,16.55,17.77777778,22.52037037,18.58960573,372.3412,5.8,28.2,28.2,48.2,10.4,35.8,34,38.7,87,97.4,133.2,58.7,94.5,46.2,4,,,,,,,,,,,,,,,,,,,,,,82
2019,2,67,116,95,49,95,122,102,27,569,240,211,151,49.8,0.386046512,3.855421687,1.666666667,0.928819444,2.148594378,0.428819444,0.979919679,960,535,247,2.908571429,0.303819444,0.883680556,2.908571429,0.309027778,1.017142857,0.059027778,0.194285714,509,178,34,99.55891304,100.5888889,17.89456522,13.44111111,275,503,360,222,863,582,1085,868,746,1609,1152,1046,2198,131.7,226.4,358.1,10.75,8.96,3.62,3.32,20.45,15.7,14.02579365,24.89259259,19.14874552,372.3412,5.6,82,44.1,58.7,105.7,61.7,87.6,131.7,190.4,296.1,357.8,164.4,226.1,167.4,3,,,,,,,,,,,,,,,,,,,,,,34
2020,2,71,114,78,43,78,121,98,43,52,87,19,45,6,0.048,2.027777778,0.091364205,0.065081352,0.805555556,0.117647059,1.611111111,73,52,94,2.151515152,0.082603254,0.177722153,2.151515152,0.100125156,1.136363636,0.155193993,1.242424242,142,80,124,99.27695652,98.67879121,18.7,16.33186813,329,458,277,357,735,634,1092,860,893,1628,1159,1052,2211,125.6,79.2,204.8,11.16,9.68,3.5,2.86,20.98,17.9,21.13218391,24.27407407,19.8781362,372.3412,0,22.5,103.1,18,0.8,60.1,22.5,125.6,143.6,144.4,204.5,18.8,78.9,60.9,2,,,,,,,,,,,,,,,,,,,,,,124
